gene	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
LINC01140	21	16	10	5	3	5	10	16
CTC-543D15.3	2	0	3	0	1	0	2	0
CTD-2006C1.12	3	3	6	2	0	3	5	0
CTD-2562J15.6	0	0	0	0	0	0	0	1
CTD-2342J14.6	7	0	0	2	3	4	2	5
MAP3K14-AS1	11	6	5	2	13	8	13	6
RP11-879F14.2	18	12	12	4	9	9	6	10
RP11-332H18.4	186	152	136	103	94	130	150	171
RP11-793H13.10	8	8	2	1	3	4	3	1
CTB-129P6.4	0	2	0	0	0	2	1	1
AC005306.3	8	8	6	2	4	8	6	3
RP11-397A16.1	0	0	0	1	0	0	0	0
RP5-951N9.2	0	0	0	0	0	0	0	0
RP11-794M8.2	0	0	0	0	0	0	0	0
RP11-567M16.1	2	0	3	1	1	0	1	0
RP13-890H12.2	4	9	10	9	8	7	7	4
CTD-2623N2.11	0	1	2	0	0	0	0	1
AC092192.1	1	0	0	0	0	0	0	0
CTB-186G2.1	0	0	0	0	0	0	0	0
RP11-703I16.2	0	0	0	0	0	0	0	0
RP11-8H2.1	0	2	1	0	0	1	1	0
CTD-2319I12.3	4	1	2	3	6	0	4	1
AC006116.19	0	1	1	0	0	2	1	0
CTB-66B24.1	1	1	8	0	1	2	2	0
RPL23AP77	0	0	0	0	1	0	0	0
RP11-178C3.2	15	9	11	11	10	22	17	10
CTD-2369P2.12	0	0	0	0	0	0	0	0
AC004637.1	0	1	0	1	0	0	2	1
CTD-3113P16.7	2	1	2	2	1	0	5	1
RP11-333J10.2	0	0	0	0	0	0	0	0
AC004510.3	0	0	0	0	0	0	0	0
CTD-2630F21.1	18	11	20	18	20	24	20	17
OR4G1P	0	0	0	0	0	0	0	0
RP11-99A1.2	0	0	0	0	0	0	0	0
RP11-1094M14.7	2	1	2	0	1	0	1	0
RP11-142I20.1	3	0	4	1	2	1	3	0
AC104532.2	0	0	0	0	0	0	0	1
RP11-686D22.6	8	3	0	2	5	3	3	8
RP11-879F14.3	0	0	0	1	0	0	1	0
CTB-25B13.12	79	74	115	77	99	136	76	108
RP11-178C3.1	0	0	0	0	0	0	0	0
CTD-2528L19.3	1	0	4	2	1	0	2	0
AC005780.1	0	0	0	0	0	0	0	0
RP11-1094M14.11	24	36	23	25	11	21	22	24
SLC25A1P5	0	0	1	0	0	1	0	0
RP11-411B10.5	0	0	0	0	0	0	0	0
RP11-397A16.2	9	3	14	4	2	6	1	2
CTD-2008L17.1	3	0	0	0	0	0	0	0
AC002398.12	0	0	0	0	0	0	0	0
CTD-2596O15.1	0	0	0	0	0	0	0	0
RP11-677O4.7	0	0	0	0	0	0	0	0
CTD-2534I21.8	0	0	0	0	1	0	0	0
CTB-60B18.6	0	0	0	0	0	0	0	0
RP11-773H22.2	3	2	3	1	5	5	1	1
CTC-782O7.1	0	0	0	0	0	0	0	0
KB-7G2.9	0	0	0	0	0	0	0	0
LINC00906	10	0	72	4	95	2	45	2
RP11-242D8.3	5	1	7	3	10	9	8	1
RP11-640A1.3	0	0	0	0	0	0	0	0
RP11-552F3.10	6	2	4	5	4	8	5	7
CTC-499B15.4	0	0	0	0	0	0	0	0
CTB-39G8.3	0	0	1	0	0	0	0	0
CTD-2293H3.2	2	0	3	1	0	0	0	2
EIF5AP3	0	0	0	0	0	1	0	0
CTB-179K24.3	2	4	5	1	3	2	5	3
RP11-686D22.9	0	0	0	0	0	0	0	0
RP1-178F10.3	284	214	270	158	299	341	261	232
CTD-2162K18.3	0	0	0	0	0	1	0	1
RP11-749H17.2	0	0	0	0	0	0	0	0
RPL9P29	5	6	6	1	9	8	3	2
RP11-411B10.3	0	0	1	1	0	2	1	0
RP11-1094M14.12	0	0	0	0	1	0	0	0
CTC-454I21.3	0	0	0	0	0	0	0	0
LOC100421166	11	29	14	28	13	11	15	35
CTD-3162L10.4	0	0	0	0	0	0	0	0
RP11-47L3.1	6	5	30	9	3	5	10	22
KCNJ2-AS1	56	37	65	28	73	75	73	61
RP11-53B2.5	0	0	0	0	0	0	0	0
UPK3BL	0	0	0	0	0	0	1	0
RP11-1094M14.8	1	0	0	0	0	0	0	0
CTD-2623N2.3	15	24	15	14	24	22	23	19
RP11-712C7.2	0	0	0	0	0	0	0	0
AC005330.2	2	1	6	7	1	0	5	5
CTD-2231E14.5	0	0	1	0	0	0	0	0
LINC00669	2	1	0	0	0	0	1	0
CTB-186G2.4	0	1	0	0	0	0	0	0
ATP5LP6	0	0	0	0	0	0	0	0
CTC-400I9.3	0	0	0	0	0	0	0	0
CTC-548K16.5	0	0	0	0	0	0	0	0
RP11-697E22.3	0	0	0	0	0	0	0	0
CTD-2086O20.3	19	15	31	23	32	22	28	24
RP11-325K19.2	0	0	0	0	0	0	0	0
RP11-1072C15.3	0	0	0	0	0	0	0	0
CTB-50L17.14	0	1	0	0	0	0	0	0
CTD-2240E14.4	1	0	2	1	2	0	3	1
AF038458.5	0	0	0	0	0	3	1	0
CTC-459F4.7	0	0	0	0	0	0	0	0
RP11-635N19.1	10	10	25	14	23	31	26	22
RP11-1151B14.3	0	0	0	0	0	0	0	0
CYP4F9P	0	0	0	0	0	0	0	0
RP11-691H4.3	0	0	0	0	0	0	0	0
CTB-175E5.7	6	6	4	4	6	11	4	7
AC074212.6	13	10	20	8	23	24	11	21
RP11-845C23.3	0	0	0	0	0	0	0	0
RP11-873E20.1	0	3	1	7	2	7	5	4
AC006130.4	0	0	0	0	0	0	0	0
RP11-456O19.5	0	0	0	0	0	0	1	0
RP11-325K19.3	0	0	0	0	0	0	0	0
RP11-396N11.1	0	0	0	0	0	0	0	0
RP11-619L19.2	0	0	0	1	0	0	0	0
RP11-49I11.2	1	0	1	0	1	0	4	3
CTC-296K1.4	0	0	1	0	1	7	0	0
CTD-2189E23.2	0	0	0	0	0	0	0	0
CTD-2050I18.1	0	0	0	0	0	0	0	0
CTB-50L17.2	0	0	0	0	0	1	0	0
RP11-567M16.2	0	0	0	0	0	0	0	0
CTC-265F19.2	0	1	0	0	0	0	0	0
RP11-636O21.1	1	0	0	0	0	0	0	0
RP11-456K23.1	71	50	155	64	60	70	90	52
CTC-503J8.2	0	0	0	0	0	0	0	0
CTD-2319I12.2	3	3	2	2	1	3	0	3
CTC-239J10.1	1	0	2	1	1	0	1	0
TCEB1P29	0	0	1	0	0	0	0	0
CTC-559E9.6	9	9	17	7	21	10	8	6
RP11-527L4.6	0	0	0	0	0	1	0	0
AC005498.3	2	2	3	4	6	1	2	2
CTD-2554C21.1	17	24	40	13	42	52	23	26
AC005616.2	0	0	0	0	0	0	0	0
CTD-2265O21.3	0	0	1	0	0	1	0	0
RP11-128P17.1	0	0	0	0	0	0	0	0
RP11-552F3.12	1	1	0	0	0	1	0	0
CTC-503J8.6	880	929	885	526	847	1546	647	875
RP11-289E15.1	0	0	0	0	0	0	0	0
AC006116.15	1	0	1	0	0	0	0	0
RP11-635N19.2	0	1	0	1	1	1	1	0
RP11-104J23.2	0	0	0	0	0	0	0	0
RP11-559N14.5	1	0	1	0	0	0	0	0
CTD-2057D4.2	0	0	0	0	0	0	0	0
AC005786.7	0	0	0	0	0	0	0	0
CTC-454I21.4	0	0	0	0	1	0	0	0
AC002398.11	9	7	10	5	6	11	9	3
CTC-501O10.1	0	0	0	0	0	0	0	1
RP1-37N7.5	0	0	0	0	0	0	0	0
AC010641.1	0	0	0	0	0	0	0	0
SMUG1P1	0	0	0	0	0	0	0	0
CTB-39G8.2	0	0	0	0	0	0	0	0
VN2R11P	0	0	0	0	0	0	0	0
AC010649.1	0	0	0	0	0	0	0	0
RP11-264B14.2	0	0	0	0	0	0	0	0
OR1AB1P	0	0	0	0	0	0	0	0
RP11-1018N14.5	0	0	0	0	0	0	0	0
AC004791.2	0	1	0	0	0	0	0	0
ZNF582-AS1	45	28	78	23	59	61	35	35
RP11-78A19.2	0	0	0	0	0	0	0	0
RP11-49I11.3	0	0	0	0	1	0	0	0
RP5-837J1.4	0	1	0	1	2	1	3	1
CTC-425F1.4	0	0	0	0	0	0	0	0
AC006116.27	0	0	0	0	0	0	0	0
CTB-186H2.1	0	0	0	0	0	0	0	0
RP11-120M18.5	1	0	2	0	1	1	0	1
RP11-866E20.3	0	0	0	0	0	0	0	0
UBE2V2P2	0	0	0	0	0	0	0	0
AC011525.4	0	0	0	0	0	0	0	0
RP11-13K12.5	0	0	0	0	0	0	0	0
APOC4	0	0	0	0	0	0	0	0
AC005944.2	0	0	0	0	0	0	0	0
ZNF571-AS1	5	6	13	11	26	29	9	14
RP11-1058G23.1	0	0	0	0	0	0	0	0
AC005789.11	12	8	30	23	37	55	17	24
CTC-548K16.6	7	1	4	2	4	5	1	2
CTD-2538C1.2	5	7	7	4	16	12	8	8
RP11-126O1.4	0	1	1	0	0	1	0	0
CTC-398G3.6	0	0	0	0	0	0	0	0
RP11-815J4.5	0	0	0	0	0	0	0	0
CTC-268N12.3	0	0	0	0	0	0	0	0
RP11-703I16.1	9	19	11	45	12	49	2	38
CTC-559E9.5	7	11	15	5	21	31	13	9
CTC-518P12.6	0	0	0	0	0	0	0	0
GLUD1P4	0	0	0	0	0	1	0	2
RP11-640A1.4	0	0	0	0	0	0	0	0
AC131056.3	0	0	0	0	0	0	0	0
CTC-360P9.4	1	0	0	0	0	0	0	0
CTD-3116E22.6	0	0	0	0	0	0	0	0
CTD-2373H9.5	4	3	3	0	1	3	0	0
RP1-37N7.6	0	0	0	0	0	0	0	0
CIRBP-AS1	9	13	17	3	15	21	11	9
FAM215A	0	0	0	0	0	0	0	0
NFE2L3P1	0	1	1	0	0	0	0	0
CTB-32O4.2	1	0	2	4	1	2	3	1
CTD-3194G12.1	0	0	0	0	0	0	0	0
CTD-2006C1.6	1	1	5	1	0	3	1	0
RP11-108P20.2	1	0	2	1	0	0	0	1
RP11-53B2.4	0	0	0	0	0	0	0	0
RP11-845C23.2	0	0	1	0	0	0	2	0
CTC-296K1.3	0	0	0	1	1	1	2	0
RP11-13K12.1	0	0	0	0	4	0	1	0
CTD-2587H24.1	0	2	2	2	2	0	1	2
ZNF285	94	52	140	74	121	121	101	96
CTD-2043I16.1	0	1	1	0	0	0	0	1
CTC-325H20.4	5	9	7	10	12	12	6	7
ADAD1P2	0	0	0	0	0	0	0	0
CTC-250I14.3	0	0	0	0	0	0	0	0
RP11-622J9.1	0	0	0	0	0	0	0	0
RP11-861E21.3	0	0	1	0	2	0	4	0
CTD-2231E14.4	0	0	0	0	0	0	0	0
RP11-794C22.2	0	0	0	0	1	0	0	0
MIR24-2	145	144	145	82	130	171	92	110
RP11-373L24.1	0	0	0	0	0	0	0	0
RP11-87G24.6	0	0	0	0	0	0	0	0
CTD-2621I17.6	0	0	0	0	0	0	0	0
CTD-2537I9.12	18	23	23	14	27	19	17	13
RPSAP57	0	0	0	0	0	0	0	0
RP11-178C3.6	1	1	0	0	0	0	0	0
AC011524.1	10	1	44	7	49	15	28	5
RP11-53B2.1	0	0	0	0	0	0	0	0
AC006273.5	5	6	6	4	4	3	3	5
AC020922.1	0	0	0	0	0	0	0	0
MIR497HG	1	1	1	0	1	0	2	0
RP11-815J4.7	5	2	7	1	5	2	13	1
S1PR2	483	505	501	264	503	599	428	542
LINC00868	0	0	0	0	0	0	0	0
AC005394.1	0	0	0	0	0	0	0	0
RP11-138H8.7	2	2	1	0	2	0	0	0
RP11-380M21.2	10	7	13	13	18	24	8	6
RP11-697E22.1	0	0	0	0	0	0	0	0
RP11-666A8.7	4	9	7	3	13	5	6	6
AC007229.3	26	22	11	18	7	19	16	16
AC005779.2	0	0	0	0	0	0	0	0
RP11-666A8.8	4	1	8	3	6	5	7	5
RP11-686D22.4	9	35	46	23	21	35	10	32
AC006116.17	2	2	2	1	0	3	2	1
CTC-482H14.5	0	0	1	0	1	0	0	0
AC005264.2	0	0	0	0	1	2	0	0
CTD-2528L19.4	0	0	1	0	2	0	0	0
RP11-686D22.10	2	0	2	1	0	1	0	0
CTD-2085J24.3	0	0	0	0	0	0	0	0
CTC-379B2.4	0	0	0	0	0	0	0	0
RP11-618K16.4	0	0	0	0	0	0	0	0
RP11-383M4.6	0	0	0	4	0	0	0	1
RP11-173A16.1	4	3	3	2	1	3	3	0
RP5-1052I5.2	0	0	0	0	0	0	0	0
CTC-421K24.1	0	1	0	0	0	0	1	0
CTC-503J8.4	0	0	0	0	0	0	0	0
RP11-128P17.3	0	0	0	0	0	0	0	0
CTC-559E9.8	5	3	9	2	9	7	3	4
RP11-104J23.1	0	0	0	0	0	0	0	0
CTD-2538C1.3	1	0	0	0	1	1	0	1
RP11-87G24.3	0	0	0	0	0	0	0	0
RP11-773H22.1	0	3	1	0	1	5	3	1
AC104532.4	6	6	3	3	3	3	5	3
KRT8P5	0	0	0	0	0	0	0	0
CTC-525D6.5	0	0	0	0	0	0	0	0
CTC-459F4.3	64	48	45	16	52	40	43	43
CTC-510F12.6	0	0	0	0	0	0	0	0
CTD-2587H24.5	5	5	3	3	3	5	5	3
RP11-126O1.2	0	0	0	0	0	0	0	0
CTD-2540B15.11	0	0	0	0	0	0	0	0
CTC-559E9.4	4	1	1	1	2	0	1	1
CTD-3252C9.2	0	0	0	0	1	0	0	0
RP11-322E11.5	0	1	0	0	0	0	0	0
RP11-115P21.1	0	0	0	0	0	0	0	0
LINC00907	1	0	1	2	1	2	2	0
RP11-687F6.4	1	0	0	0	0	1	0	0
MIR1302-2	7	1	7	4	4	2	5	1
CTC-232P5.4	0	0	0	0	0	1	0	0
NDUFA3P1	0	0	0	0	3	2	1	1
RP11-689E3.2	0	0	0	0	0	0	0	0
CTC-507E2.2	0	0	2	0	1	2	0	0
RP11-108P20.4	0	0	0	0	0	0	0	0
CYP4F24P	1	0	0	0	0	0	0	0
RP11-242D8.2	3	3	2	5	4	6	5	6
CCL15	0	0	0	0	0	0	0	0
RPIAP1	0	0	0	0	0	0	0	0
CTC-250I14.6	0	0	0	0	0	0	0	0
CTD-2050I18.2	0	0	0	0	0	0	0	0
AC098474.1	9	3	14	10	1	7	9	2
RP11-323N12.5	0	0	0	0	0	0	0	0
LINC01028	0	0	1	0	0	0	1	0
RP5-905N1.2	0	0	0	0	0	0	0	0
CTD-3220F14.1	13	6	36	26	9	5	6	7
AC006116.21	0	1	1	0	1	0	0	0
CTD-2369P2.8	1	0	0	0	0	1	0	1
SNX33P1	0	0	0	0	0	0	0	0
AC007787.2	2	1	1	0	0	3	0	0
CTC-461H2.2	0	0	0	0	0	0	0	0
CTD-3116E22.7	1	1	2	0	2	1	1	1
RP11-378E13.4	0	1	0	0	0	0	0	1
AC138472.6	0	0	0	0	0	0	0	0
RP11-552F3.13	0	0	0	0	0	0	0	0
AC016626.2	0	0	0	0	0	0	0	0
AC007795.1	0	0	0	0	0	0	0	0
RAD51L3-RFFL	0	0	0	0	0	0	0	0
RP11-795H16.2	0	0	1	1	1	3	0	0
AC022153.1	0	0	0	0	0	0	0	0
RP11-219G17.6	0	0	0	0	0	0	0	0
RP11-1094M14.14	0	0	0	0	0	0	0	0
AC002115.9	0	0	0	0	0	0	0	0
RP11-905K4.1	0	0	0	0	0	0	0	0
RP11-1136J12.1	0	0	0	0	0	0	0	0
AC138430.4	0	0	0	0	0	0	0	0
AC005758.1	0	0	0	0	0	0	0	0
CGB1	1	0	0	0	0	0	2	0
RP11-400F19.18	6	6	7	9	20	12	13	9
CTB-5E10.3	0	0	0	0	0	0	0	0
RPL7L1P5	0	0	0	0	0	0	0	0
RP11-206C20.1	0	0	0	0	0	0	0	0
AC008992.1	1	0	1	0	0	0	0	0
RP11-619I22.1	0	0	0	0	0	0	0	0
RP11-546M21.6	1	0	1	0	2	0	0	2
CICP19	12	6	17	6	13	16	6	4
CTD-2554C21.2	4	0	2	0	14	5	2	0
RP11-258B16.1	0	0	0	0	0	0	0	0
RP11-64C12.4	0	0	0	0	0	0	0	0
CTD-2008P7.10	0	0	0	0	0	0	0	0
CTC-499B15.7	0	1	1	0	0	1	2	2
MAP1LC3P	0	0	0	0	0	0	0	0
RP11-686D22.3	6	7	10	9	3	17	1	4
CTD-2587H24.10	3	1	3	0	4	4	3	3
CTD-2553C6.1	0	1	0	0	0	2	0	0
RP11-95O2.1	0	1	1	0	1	0	1	2
RP11-188I24.1	0	0	0	0	0	0	0	0
RP1-193H18.3	1	3	0	5	0	5	0	1
RP11-973H7.4	0	0	0	0	1	0	0	0
CTD-2286N8.2	6	5	3	7	7	7	3	3
RP11-807E13.3	1	0	0	0	0	0	1	0
CTB-186H2.2	0	0	0	0	0	0	0	0
RP11-358B23.1	2	1	1	0	0	1	2	0
RP11-118B18.1	0	1	2	1	0	2	0	2
CTC-479C5.17	0	0	0	0	0	0	0	0
RP11-820I16.2	0	0	0	0	0	1	0	0
AC007796.1	10	3	7	2	6	12	5	5
RP11-64C12.9	0	0	0	0	0	0	0	0
RPL17P45	0	0	0	0	0	0	0	0
RP11-13K12.2	0	0	0	0	0	0	1	0
AC004156.3	2	4	1	1	4	2	6	2
RP11-136H19.1	0	3	2	0	8	3	2	2
RP11-697E22.2	1	1	0	1	2	1	2	1
RP11-824M15.3	43	128	63	99	39	107	47	131
CTB-55O6.4	0	0	0	0	0	0	0	0
YWHAEP7	0	1	0	1	0	1	0	0
CTD-2293H3.1	0	0	1	1	0	0	1	0
FDX1L	2	0	1	0	0	1	1	0
RP11-813F20.2	0	0	0	0	0	0	0	0
RP11-1151B14.2	0	0	0	0	0	0	0	0
THA1P	4	1	1	2	2	1	1	0
RP11-27G24.1	2	0	3	1	1	1	0	4
RP11-15E18.3	0	0	0	0	0	0	0	0
EIF5AP2	2	4	6	3	6	6	1	1
ZNF224	54	47	62	31	44	60	55	55
CTD-3199J23.6	2	5	5	4	1	2	6	3
CTD-3220F14.2	4	5	5	0	6	3	7	6
AC008991.1	12	2	10	2	12	2	10	1
CTC-360P9.2	0	0	0	0	0	0	0	0
NTF6B	0	0	0	0	0	0	0	0
RP11-795H16.3	4	9	7	12	12	18	7	16
RP11-325K19.6	0	0	0	0	0	0	0	0
AC005262.2	0	0	0	0	0	0	0	0
AC010525.5	0	0	1	0	0	1	0	0
LDLRAD4-AS1	0	0	0	0	0	0	0	0
SHC1P2	0	3	3	0	3	4	3	1
TAF9P3	0	3	0	0	1	0	1	0
CTC-559E9.2	0	0	0	0	0	1	1	0
RP11-691H4.4	0	0	0	0	0	0	0	0
CTB-151G24.1	16	8	14	4	8	11	11	10
LUZP6	0	0	0	0	0	0	0	0
AC002116.7	0	0	0	0	1	0	1	0
RP11-729L2.2	0	0	0	0	0	0	0	0
RP11-28F1.2	0	0	1	0	0	0	0	0
RP11-53B2.2	1	0	0	0	0	0	0	0
CTD-2013N17.4	0	0	0	0	0	0	0	0
RP11-411B10.6	0	0	0	0	0	0	0	0
RP11-108P20.3	0	0	0	0	0	0	0	0
CTD-2105E13.6	0	0	0	0	0	0	0	0
RP11-95O2.5	0	1	0	0	1	0	1	0
AC024592.9	1	0	0	0	0	1	0	0
AC006116.20	4	2	5	0	4	9	9	2
RP11-686D22.5	1	4	3	6	3	5	3	2
RP11-456O19.4	0	0	0	0	0	0	0	0
RP11-10I6.2	0	0	0	0	0	0	0	0
CTD-2540B15.6	0	0	0	0	0	0	0	0
CTB-25B13.6	2	2	3	0	4	5	3	1
AC083760.1	0	0	0	0	0	0	0	0
SRSF10P1	0	1	0	0	0	0	0	0
RP11-815J4.1	0	0	0	0	0	0	0	0
CTD-2189E23.1	0	0	0	0	0	0	0	0
RP11-49K24.8	4	12	5	3	5	7	3	3
CTC-461H2.3	0	0	0	0	0	0	0	0
CTD-2526M8.2	0	0	0	0	0	0	0	0
CTD-2540B15.7	0	0	0	0	0	0	0	0
RP11-206C20.2	0	0	0	0	0	0	0	0
AC010761.14	1	0	0	1	0	0	0	1
CTD-2537I9.5	1	1	1	2	2	2	0	1
RP11-456O19.3	0	0	0	0	0	0	0	0
RP11-64C12.3	0	0	0	0	0	0	0	0
RP4-604K5.3	0	0	0	0	0	0	0	0
CTD-2265O21.7	0	0	0	0	0	0	0	0
HMGB2P1	1	0	1	0	2	0	0	0
AC061992.2	7	2	15	6	16	6	7	1
AC024592.12	0	0	0	0	0	0	0	0
UBE2L4	6	5	4	7	21	15	12	13
FAM60CP	3	1	3	3	4	8	2	1
RP11-718I15.1	0	0	1	0	1	0	0	0
RP11-799D4.1	0	0	0	0	0	0	0	0
RP11-686D22.8	20	26	35	42	26	68	17	32
RP11-379L18.1	0	0	0	0	0	0	0	0
RP11-392O1.4	2	2	1	0	0	0	0	0
CTB-102L5.4	0	0	0	0	0	0	0	0
CTC-265F19.1	1	0	0	0	0	0	0	0
AC003102.3	8	5	12	12	18	16	2	2
AC009005.2	1	1	0	0	3	2	4	1
RPS10P27	0	0	0	0	0	0	0	0
AC004623.2	0	0	0	0	0	0	0	0
RP11-411B10.4	3	5	3	1	5	1	6	1
C19orf83	0	0	0	0	0	0	0	0
RP11-358B23.5	0	1	0	1	0	0	0	0
CTB-25B13.13	11	6	14	2	7	11	10	10
CTC-565M22.1	0	0	0	0	0	0	0	0
CTD-2130O13.1	1	1	0	0	1	3	0	1
RP11-426J5.2	0	0	0	0	0	0	0	0
RP11-484L8.1	0	0	0	0	2	1	0	0
CTD-3193K9.3	2	0	5	1	5	4	0	1
RP11-299P2.1	0	0	0	0	0	0	0	0
CTC-523E23.4	0	0	0	0	1	1	0	0
CTC-459F4.8	0	0	0	0	0	0	0	0
CTB-50L17.9	4	3	6	1	10	3	1	2
RP11-559N14.6	0	0	0	0	0	0	0	0
RP11-15E18.4	0	0	0	0	0	0	0	1
RP11-677O4.4	0	0	0	0	0	0	0	0
RP11-2N1.2	23	17	22	16	22	42	31	42
OR7E16P	0	0	0	0	0	0	0	0
AC006116.24	4	1	1	0	1	1	1	0
CTC-439O9.3	0	2	1	0	0	0	0	0
AC004221.2	3	2	3	1	0	6	3	2
CTC-360P9.3	0	0	0	0	0	0	0	0
RP11-154H12.3	0	0	0	0	0	0	1	0
SLC25A36P1	1	4	0	4	4	2	5	1
RP11-799D4.3	0	0	0	0	0	0	0	0
CTB-55O6.10	0	0	0	0	0	0	1	0
RP11-171I2.1	0	1	0	0	0	0	0	1
CTD-3194G12.2	0	0	0	0	0	0	0	0
AF038458.3	0	1	0	2	3	1	0	0
RP11-35G9.5	0	0	0	0	0	0	0	0
CTD-2534I21.9	0	0	0	0	0	0	0	0
CTD-2526M8.3	0	0	0	0	0	0	0	0
RP11-316M20.1	0	1	0	0	0	1	0	0
CTD-2659N19.2	0	0	0	0	0	0	0	0
AC016626.1	0	0	0	0	0	0	0	0
RP11-576C2.1	5	5	5	2	19	6	0	0
RP11-677O4.5	0	0	0	0	0	0	0	0
SMIM22	0	0	0	0	0	1	0	0
LIN37	13	20	21	9	26	37	17	18
NRBF2P1	0	0	0	0	0	0	0	0
RP11-333J10.3	0	0	0	0	0	2	0	1
CTC-478M6.1	0	0	1	0	0	0	0	0
RP11-49K24.5	1	2	2	0	0	0	3	0
RP11-552F3.9	0	7	3	2	2	1	0	1
AL358333.1	0	0	0	0	0	0	0	0
AC244161.1	0	0	0	0	0	0	0	0
RP11-665N17.4	0	0	0	0	0	0	0	0
AL360004.2	0	0	0	0	0	0	0	0
AC018755.17	1	1	0	1	0	0	1	0
NDUFV2P1	105	113	127	94	155	192	89	120
RP11-727F15.11	2	0	1	0	1	2	0	1
FKSG68	0	0	0	0	0	0	0	1
CTB-191K22.5	0	0	0	0	0	0	0	0
AC092850.1	0	0	0	0	0	0	0	0
AC137056.1	0	0	0	0	0	0	0	0
CTC-471J1.8	0	0	0	0	0	0	0	0
RP11-167N5.5	4	2	9	3	3	6	4	1
AC020956.3	0	1	1	0	0	1	0	0
BX005439.2	0	0	0	0	0	0	0	0
DKFZP434A062	1	0	0	0	1	0	0	0
AC239803.1	0	0	0	0	0	0	0	0
AL118506.1	6	9	2	3	2	6	3	5
AL133262.1	1	0	0	0	0	0	0	1
AC239395.1	0	0	0	0	0	0	0	0
CTB-133G6.2	1	0	0	0	4	1	1	1
PRED58	0	0	1	1	0	4	0	2
AC016629.8	39	32	64	23	72	80	51	34
CTD-2611O12.8	0	0	0	0	0	0	0	0
RP11-120K24.3	0	0	0	0	0	0	0	0
CTC-444N24.6	10	3	5	4	9	7	8	6
AC121757.1	0	0	0	0	0	0	0	0
CTD-2527I21.9	1	0	0	0	1	1	2	0
CTB-147C22.9	0	0	0	0	0	0	0	0
AC037199.1	0	0	0	0	0	0	0	0
AL031666.2	0	1	2	0	1	0	0	1
PRED60	0	0	0	0	0	0	0	0
AL626787.1	0	0	0	0	0	0	0	0
FKSG48	0	0	1	3	1	0	0	0
CTD-2291D10.4	2	2	4	2	0	0	4	3
AC079354.2	0	0	0	0	2	0	0	0
CTD-2126E3.4	0	0	0	0	2	1	0	0
CTD-2540F13.2	1	0	1	0	0	0	0	0
AC007461.1	2	1	3	2	7	5	2	1
SIGLEC19P	0	0	0	0	0	0	0	0
AC018766.4	5	4	2	0	4	6	1	3
CTD-2639E6.9	0	1	2	1	0	3	1	0
AC004817.1	0	0	0	0	0	0	2	0
CTC-429P9.5	37	34	59	19	58	71	32	38
CTD-2616J11.16	0	0	0	0	0	0	0	0
AC073333.1	0	0	0	0	0	1	0	1
ZSCAN5D	0	1	3	1	0	2	0	0
AP001055.1	15	5	13	7	10	8	17	6
AL117190.2	0	0	0	0	0	0	0	0
RP11-256I23.3	0	0	0	0	0	2	0	2
SNX6P1	0	0	0	0	0	1	0	0
AC007193.6	0	0	0	0	0	0	0	0
RP11-255H23.4	1	0	0	0	0	0	0	0
CTD-2525I3.2	0	0	0	0	0	1	0	1
CTB-176F20.3	5	0	6	3	2	9	2	4
AC016752.1	0	0	0	0	0	0	0	0
AP001421.1	0	0	0	0	0	0	0	0
AC007292.1	1	0	0	1	0	1	0	0
CTD-2325M2.1	4	5	8	4	2	4	6	5
RP11-290F24.6	6	5	5	3	9	7	2	6
AC008267.1	0	0	0	0	4	3	0	0
AC090673.2	0	0	0	0	1	0	0	0
CTD-2620I22.3	1	1	0	0	0	0	1	0
AC139677.8	0	0	0	0	0	0	0	0
AC136297.1	0	0	0	0	0	0	0	0
CTD-2207O23.12	0	0	0	0	0	0	0	0
AP000349.1	0	0	0	0	0	0	0	0
RP11-178G16.4	34	29	31	27	21	32	28	35
CATX-2	0	0	0	0	0	0	0	0
MIR3188	0	0	0	0	0	0	0	0
OR10B1P	0	0	0	0	0	0	0	0
AC234771.1	0	0	0	0	0	0	0	0
AC013469.1	1	0	0	0	0	0	0	0
AC022400.2	0	0	0	0	0	0	0	0
AC011523.2	0	0	0	0	0	0	0	0
AC004899.1	0	0	0	0	0	0	0	0
AP000695.1	0	0	0	0	0	0	0	0
AC092964.2	0	0	0	0	0	0	1	0
AC007292.6	4	1	2	1	8	2	0	1
AP003041.2	0	1	0	0	0	0	0	1
CTD-2616J11.9	0	0	0	0	0	0	0	0
AC005488.1	8	5	5	5	2	12	9	7
AL161784.1	0	0	0	0	0	0	0	0
AC096582.1	0	0	0	0	0	0	0	0
CTD-3187F8.15	0	0	0	0	0	0	0	0
CTB-189B5.3	0	0	1	0	0	0	0	0
hsa-mir-150	0	0	0	0	0	0	0	0
CTC-241F20.3	8	11	15	6	13	13	15	13
PTOV1-AS1	150	95	173	104	173	190	111	131
AC016559.1	0	0	0	0	0	0	0	0
CTD-2525I3.3	1	2	3	3	2	1	3	4
OR4G4P	0	0	0	0	0	0	0	0
AC005549.3	0	0	0	0	0	0	0	0
AC118758.3	0	0	0	0	0	0	0	0
AC025262.1	0	0	0	0	0	0	0	0
AC005253.2	13	19	12	7	16	19	22	12
CTB-52I2.4	114	95	137	67	141	132	85	88
AC007228.8	0	0	0	0	0	0	0	0
